waterfowl,raptor,sea,other,non
cackling_goose,bald_eagle,gull_spp.,dunlin,polar_bear
trumpeter_swan,merlin,glaucous_gull,sanderling,fox
canada_goose,barred_owl,thayer's_gull,black-necked_stilt,house_mouse
domestic_goose,peregrine_falcon,cormorant,bird,cat
northern_pintail,turkey_vulture,western_gull,raven,striped_skunk
snow_goose,red-tailed_hawk,gull,snowy_plover,bobcat
american_wigeon,red_tailed_hawk,glaucous-winged_gull,chicken,catalina_island_fox
common_goldeneye,great_horned_owl,short-tailed_shearwaters,great_blue_heron,red_fox
duck,california_condor,common_murre,common_raven,raccoon
green-winged_teal,coopers_hawk,black-legged_kittiwake,turkey,
wood_duck,falcon,bonaparte's_gull,black-billed_magpie,
mallard,golden_eagle,seagull,black_turnstone,
goose,cooper_s_hawk,brown_pelican,emu,
wild_duck,hawk,herring_gull,dove,
redhead_duck,haliaeetus_leucocephalus,glaucous_winged_gull,crow,
northern_shoveler,,,grackle,
mallard_duck,,,magpie,
green_winged_teal,,,guineafowl,
rosss_goose,,,guinea_fowl,
tundra_swan,,,american_crow,
ring_necked_duck,,,pheasant,
wild_goose,,,,
lesser_scaup,,,,
gadwall,,,,
greater_scaup,,,,
american_black_duck,,,,
domestic_duck,,,,
