,Unnamed: 0,wild_avian,domestic_avian,cattle,feline,other_mammal,human,other,pet_food,new
0,0.0,great_horned_owl,pheasant,dairy_cow,cat,deer mouse,washington,mixed,pet food,
1,1.0,common_raven,turkey,cattle,domestic_cat,house_mouse,nevada,environment,raw pet food,
2,2.0,cooper's_hawk,chicken,cattle milk product,feral_cat,skunk,wyoming,multispecies,raw_pet_food,
3,3.0,coopers_hawk,goose,bovine_milk,feline,striped_skunk,california,unknown,pet_food,
4,4.0,peafowl,guinea_fowl,bovine ,domestic-cat,norway rat,michigan,',,
5,5.0,crane,quail,bos taurus,domestic cat,ermine,colorado,-,,
6,6.0,peregrine_falcon,duck,bovine,bobcat,harbor_seal,ohio,environmental,,
7,7.0,barn_owl,guineafowl,dairy cow,geoffroys_cat,fox,louisiana,enviroment,,
8,8.0,snow_goose,emu,cattle domestic dairy no breed specified,cougar,bottlenose_dolphin,british_columbia,environmental_(em)_,,
9,9.0,heron,ostrich,dairy cattle,tiger,bear,texas,mal,,
10,10.0,great_black-backed_gull,domestic_turkey,,serval,red_fox,antofagasta,ty,,
11,11.0,double-crested_co,layer_chicken,,lion,macaque,chile,blow_fly,,
12,12.0,bald_eagle,domestic_duck,,lynx,atlantic_white-sided_dolphin,sichuan,water,,
13,13.0,red-tailed_hawk,peacock,,mountain_lion,mink,guangdong,unl,,
14,14.0,vulture,pekin_duck,,savannah_cat,polar_bear,gx-guilin,dk,,
15,15.0,osprey,poultry,,geoffroy's cat,dog,fujian-sanyuan,env,,
16,16.0,tundra_swan,taiwanese_chicken,,mountain lion,black_bear,hangzhou,t_dk,,
17,17.0,blue-winged_teal,waterfowl,,savannah cat,raccoon,castillalamancha,ch,,
18,18.0,wood_duck,domestic_goose,,felis catus,alpaca,guangxi,est,,
19,19.0,ruddy_duck,silkie_chicken,,panthera tigris,goat,astrakhan,go,,
20,20.0,white-faced_ibis,ring-necked_pheasant,,leptailurus serval,swine,jiangxi,grey_go,,
