,avian,cattle,feline,other_mammal,human,other,new
0,great_horned_owl,dairy_cow,cat,deer mouse,washington,mixed,
1,common_raven,cattle,domestic_cat,house_mouse,nevada,environment,
2,cooper's_hawk,cattle milk product,feral_cat,skunk,wyoming,multispecies,
3,coopers_hawk,bovine_milk,feline,striped_skunk,california,unknown,
4,peafowl,bovine ,domestic-cat,norway rat,michigan,',
5,crane,bos taurus,domestic cat,ermine,colorado,-,
6,peregrine_falcon,,bobcat,harbor_seal,ohio,environmental,
7,barn_owl,,geoffroys_cat,fox,louisiana,enviroment,
8,flamingo,,cougar,bottlenose_dolphin,british_columbia,environmental_(em)_,
9,snow_goose,,tiger,bear,texas,mal,
10,heron,,serval,red_fox,antofagasta,ty,
11,great_black-backed_gull,,lion,macaque,chile,blow_fly,
12,double-crested_co,,lynx,atlantic_white-sided_dolphin,sichuan,water,
13,bald_eagle,,mountain_lion,mink,guangdong,unl,
14,red-tailed_hawk,,savannah_cat,polar_bear,gx-guilin,dk,
15,vulture,,geoffroy's cat,dog,fujian-sanyuan,env,
16,osprey,,mountain lion,black_bear,hangzhou,t_dk,
17,tundra_swan,,savannah cat,raccoon,castillalamancha,ch,
18,blue-winged_teal,,pet food,alpaca,guangxi,est,
19,wood_duck,,raw pet food,goat,astrakhan,go,
20,ruddy_duck,,raw_pet_food,swine,jiangxi,grey_go,
21,white-faced_ibis,,pet_food,red fox,england,ck,
22,pheasant,,felis catus,harbor seal,hunan,barnacle,
23,gadwall,,panthera tigris,house-mouse,changsha,,
24,swan,,leptailurus serval,dolphin,jiangsu,,
25,black_vulture,,puma concolor,weasel,,,
26,sandhill_crane,,lynx rufus,bottlenose dolphin,,,
27,mallard,,leopardus geoffroyi,pig,,,
28,barred_owl,,african lion,house mouse,,,
29,dunlin,,amur leopard,nasua_nasua,,,
30,sanderling,,amur tiger,sea_lion,,,
31,pigeon,,bengal tiger,burmeisters_porpoise,,,
32,herring_gull,,bobcat (captive),otaria_flavescens,,,
33,trumpeter_swan,,canada lynx,pinniped,,,
34,red_tailed_hawk,,eurasian lynx,southern_elephant_seal,,,
