,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state_x,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,name_state_y,Geo_Location,Collection_Date_Specific
0,SRR28752446,WGS,146.11,93605195,PRJNA1102327,SAMN41019184,Viral,30074178,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318198,USA,North America,USA,Blackbird,Illumina iSeq 100,24-008354-001-original,24-008354-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-008354-001-original,SRP503016,H5N1,,SRS21079812,False,,USA,2025-05-09_10-47-05,SRR28752446.fa,B3.13,"NS:am1.1, PB1:am4, PB2:am2.2, HA:ea1, MP:ea1, PA:ea1, NP:am8, NA:ea1","am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:NA","99.17%, 99.52%, 98.90%, 98.77%, 98.88%, 99.16%, 99.33%, 99.01%","7, 11, 25, 21, 11, 18, 10, 14",Ran on FASTA - No Coverage Report,USA,USA,2024-03-16
1,SRR28752446,WGS,146.11,93605195,PRJNA1102327,SAMN41019184,Viral,30074178,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318198,USA,North America,USA,Blackbird,Illumina iSeq 100,24-008354-001-original,24-008354-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-008354-001-original,SRP503016,H5N1,,SRS21079812,False,,USA,2025-05-09_10-47-05,SRR28752446.fa,B3.13,"NS:am1.1, PB1:am4, PB2:am2.2, HA:ea1, MP:ea1, PA:ea1, NP:am8, NA:ea1","am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:NA","99.17%, 99.52%, 98.90%, 98.77%, 98.88%, 99.16%, 99.33%, 99.01%","7, 11, 25, 21, 11, 18, 10, 14",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-16
2,SRR28752447,WGS,241.29,86080323,PRJNA1102327,SAMN41019237,Viral,28164109,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318197,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-005-original,24-009108-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-005-original,SRP503016,H5N1,,SRS21079811,False,,USA,2025-05-09_10-45-55,SRR28752447.fa,B3.13,"NP:am8, MP:ea1, PB2:am2.2, HA:ea1, NA:ea1, PA:ea1, NS:am1.1, PB1:am4","am8:23-032005-001:NP, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1","99.40%, 98.88%, 98.86%, 98.77%, 99.08%, 99.16%, 99.28%, 99.56%","9, 11, 26, 21, 13, 18, 6, 10",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
3,SRR28752447,WGS,241.29,86080323,PRJNA1102327,SAMN41019237,Viral,28164109,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318197,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-005-original,24-009108-005-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-005-original,SRP503016,H5N1,,SRS21079811,False,,USA,2025-05-09_10-45-55,SRR28752447.fa,B3.13,"NP:am8, MP:ea1, PB2:am2.2, HA:ea1, NA:ea1, PA:ea1, NS:am1.1, PB1:am4","am8:23-032005-001:NP, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1","99.40%, 98.88%, 98.86%, 98.77%, 99.08%, 99.16%, 99.28%, 99.56%","9, 11, 26, 21, 13, 18, 6, 10",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
4,SRR28752448,WGS,250.3,75035343,PRJNA1102327,SAMN41019236,Viral,24547283,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318196,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-004-original,24-009108-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-004-original,SRP503016,H5N1,,SRS21079810,False,,USA,2025-05-09_10-47-06,SRR28752448.fa,B3.13,"HA:ea1, NA:ea1, MP:ea1, PA:ea1, PB1:am4, PB2:am2.2, NS:am1.1, NP:am8","ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am8:23-032005-001:NP","98.77%, 99.08%, 98.88%, 99.21%, 99.56%, 98.86%, 99.17%, 99.33%","21, 13, 11, 17, 10, 26, 7, 10",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
5,SRR28752448,WGS,250.3,75035343,PRJNA1102327,SAMN41019236,Viral,24547283,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318196,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-004-original,24-009108-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-004-original,SRP503016,H5N1,,SRS21079810,False,,USA,2025-05-09_10-47-06,SRR28752448.fa,B3.13,"HA:ea1, NA:ea1, MP:ea1, PA:ea1, PB1:am4, PB2:am2.2, NS:am1.1, NP:am8","ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am8:23-032005-001:NP","98.77%, 99.08%, 98.88%, 99.21%, 99.56%, 98.86%, 99.17%, 99.33%","21, 13, 11, 17, 10, 26, 7, 10",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
6,SRR28752449,WGS,146.61,59363690,PRJNA1102327,SAMN41019235,Viral,19686302,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318195,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-003-original,24-009108-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-003-original,SRP503016,H5N1,,SRS21079809,False,,USA,2025-05-09_10-46-33,SRR28752449.fa,B3.13,"MP:ea1, PA:ea1, PB2:am2.2, NP:am8, NS:am1.1, NA:ea1, HA:ea1, PB1:am4","ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am4:23-001855-001:PB1","98.88%, 99.16%, 98.86%, 99.33%, 99.28%, 99.08%, 98.77%, 99.56%","11, 18, 26, 10, 6, 13, 21, 10",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
7,SRR28752449,WGS,146.61,59363690,PRJNA1102327,SAMN41019235,Viral,19686302,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318195,USA,North America,USA,Cattle,Illumina iSeq 100,24-009108-003-original,24-009108-003-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-003-original,SRP503016,H5N1,,SRS21079809,False,,USA,2025-05-09_10-46-33,SRR28752449.fa,B3.13,"MP:ea1, PA:ea1, PB2:am2.2, NP:am8, NS:am1.1, NA:ea1, HA:ea1, PB1:am4","ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am4:23-001855-001:PB1","98.88%, 99.16%, 98.86%, 99.33%, 99.28%, 99.08%, 98.77%, 99.56%","11, 18, 26, 10, 6, 13, 21, 10",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
8,SRR28752450,WGS,251.31,119232569,PRJNA1102327,SAMN41019234,Viral,38846827,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318194,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-002-original,24-009108-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-002-original,SRP503016,H5N1,,SRS21079808,False,,USA,2025-05-09_10-47-05,SRR28752450.fa,B3.13,"PA:ea1, PB2:am2.2, MP:ea1, NS:am1.1, PB1:am4, HA:ea1, NP:am8, NA:ea1","ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA","99.21%, 98.82%, 98.88%, 99.17%, 99.56%, 98.77%, 99.33%, 99.08%","17, 27, 11, 7, 10, 21, 10, 13",Ran on FASTA - No Coverage Report,USA,USA,2024-03-20
9,SRR28752450,WGS,251.31,119232569,PRJNA1102327,SAMN41019234,Viral,38846827,USDA-NVSL,2024,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24318194,USA,North America,USA,Cattle,Illumina MiSeq,24-009108-002-original,24-009108-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2024-04-20,2024-04-20T18:12:00Z,1,24-009108-002-original,SRP503016,H5N1,,SRS21079808,False,,USA,2025-05-09_10-47-05,SRR28752450.fa,B3.13,"PA:ea1, PB2:am2.2, MP:ea1, NS:am1.1, PB1:am4, HA:ea1, NP:am8, NA:ea1","ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:NA","99.21%, 98.82%, 98.88%, 99.17%, 99.56%, 98.77%, 99.33%, 99.08%","17, 27, 11, 7, 10, 21, 10, 13",Ran on FASTA - No Coverage Report,Texas,USA-TX,2024-03-20
