,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state,sample,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,Geo_Location,Collection_Date_Specific
0,SRR33830324,WGS,147.97,74609244,PRJNA1207547,SAMN48895309,Viral,27537881,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051284,USA,,USA,TURKEY VULTURE,NextSeq 2000,25-013422-001,25-013422-001-original-repeat2,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:57,1,25-013422-001,SRP557452,,BLOOD SWAB,SRS25266441,False,,USA,SRR33830324,2025-06-06_07-56-21,SRR33830324.fa,D1.1,"NP:am13, NS:ea3, PB2:am24, HA:ea3, PB1:ea3, MP:ea3, NA:am4N1, PA:am4","am13:24-030039-001:NP, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, am4:24-030039-001:PA","99.80%, 99.17%, 99.74%, 99.24%, 99.34%, 100.00%, 99.04%, 99.60%","3, 7, 6, 13, 15, 0, 10, 7",Ran on FASTA - No Coverage Report,USA,2025
1,SRR33830325,WGS,148.64,156899568,PRJNA1207547,SAMN48895308,Viral,62096192,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051283,USA,,USA,TURKEY VULTURE,NextSeq 2000,25-015561-001,25-015561-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:58,1,25-015561-001,SRP557452,,CLOACAL/TRACHEAL SWAB POOL,SRS25266440,False,,USA,SRR33830325,2025-06-06_07-56-21,SRR33830325.fa,D1.1,"PA:am4, PB2:am24, HA:ea3, PB1:ea3, MP:ea3, NS:ea3, NA:am4N1, NP:am13","am4:24-030039-001:PA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am13:24-030039-001:NP","99.60%, 99.65%, 99.41%, 99.16%, 99.90%, 98.93%, 99.38%, 99.87%","7, 8, 10, 19, 1, 9, 7, 2",Ran on FASTA - No Coverage Report,USA,2025
2,SRR33830326,WGS,137.62,616674,PRJNA1207547,SAMN48895307,Viral,313930,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051282,USA,,USA,RED-TAILED HAWK,NextSeq 2000,25-013427-001,25-013427-001-original-repeat2,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:31,1,25-013427-001,SRP557452,,BLOOD SWAB,SRS25266439,False,,USA,SRR33830326,2025-06-06_07-56-21,SRR33830326.fa,D1.1,"MP:ea3, PB1:ea3, NA:am4N1, PB2:am24, HA:ea3, NS:ea3, PA:am4, NP:am13","ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:HA, ea3:22-013001-001:NS, am4:24-030039-001:PA, am13:24-030039-001:NP","99.90%, 99.68%, 99.33%, 99.78%, 99.41%, 98.93%, 99.76%, 99.67%","1, 2, 7, 5, 10, 9, 2, 5",Ran on FASTA - No Coverage Report,USA,2025
3,SRR33830327,WGS,148.23,57621808,PRJNA1207547,SAMN48895306,Viral,21591302,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051281,USA,,USA,RED-TAILED HAWK,NextSeq 2000,25-013424-001,25-013424-001-original-repeat2,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:54,1,25-013424-001,SRP557452,,BLOOD SWAB,SRS25266438,False,,USA,SRR33830327,2025-06-06_07-56-20,SRR33830327.fa,D1.1,"PA:am4, MP:ea3, NP:am13, NS:ea3, NA:am4N1, PB2:am24, PB1:ea3, HA:ea3","am4:24-030039-001:PA, ea3:22-013001-001:MP, am13:24-030039-001:NP, ea3:22-013001-001:NS, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA","99.81%, 99.90%, 99.87%, 99.28%, 99.52%, 99.69%, 99.12%, 99.35%","4, 1, 2, 6, 5, 7, 20, 11",Ran on FASTA - No Coverage Report,USA,2025
4,SRR33830328,WGS,148.93,140872576,PRJNA1207547,SAMN48895305,Viral,56890513,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051280,USA,,USA,GREAT HORNED OWL,NextSeq 2000,25-015870-001,25-015870-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:10:14,1,25-015870-001,SRP557452,,swab,SRS25266437,False,,USA,SRR33830328,2025-06-06_07-56-20,SRR33830328.fa,D1.1,"NS:ea3, NA:am4N1, PB1:ea3, MP:ea3, PB2:am24, HA:ea3, PA:am4, NP:am13","ea3:22-013001-001:NS, am4N1:24-030039-001:NA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4:24-030039-001:PA, am13:24-030039-001:NP","99.17%, 99.03%, 99.30%, 99.90%, 99.61%, 99.41%, 99.40%, 99.67%","7, 11, 16, 1, 9, 10, 13, 5",Ran on FASTA - No Coverage Report,USA,2025
5,SRR33830329,WGS,148.69,94286386,PRJNA1207547,SAMN48895304,Viral,37454397,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051279,USA,,USA,COMMON GRACKLE,NextSeq 2000,25-015755-001,25-015755-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:54,1,25-015755-001,SRP557452,,CLOACAL/TRACHEAL SWAB POOL,SRS25266436,False,,USA,SRR33830329,2025-06-06_07-56-21,SRR33830329.fa,D1.1,"PB1:ea3, NS:ea3, PB2:am24, HA:ea3, NA:am4N1, PA:am4, MP:ea3, NP:am13","ea3:22-013001-001:PB1, ea3:22-013001-001:NS, am24:24-030039-001:PB2, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am4:24-030039-001:PA, ea3:22-013001-001:MP, am13:24-030039-001:NP","99.25%, 98.81%, 99.65%, 99.41%, 99.03%, 99.31%, 99.69%, 99.73%","17, 10, 8, 10, 11, 12, 3, 4",Ran on FASTA - No Coverage Report,USA,2025
6,SRR33830330,WGS,144.8,141248923,PRJNA1207547,SAMN48895303,Viral,55408362,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051278,USA,,USA,BLACK VULTURE,NextSeq 2000,25-015563-001,25-015563-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:10:02,1,25-015563-001,SRP557452,,CLOACAL/TRACHEAL SWAB POOL,SRS25266435,False,,USA,SRR33830330,2025-06-06_07-56-21,SRR33830330.fa,D1.1,"NP:am13, NA:am4N1, MP:ea3, NS:ea3, HA:ea3, PB1:ea3, PA:am4, PB2:am24","am13:24-030039-001:NP, am4N1:24-030039-001:NA, ea3:22-013001-001:MP, ea3:22-013001-001:NS, ea3:22-013001-001:HA, ea3:22-013001-001:PB1, am4:24-030039-001:PA, am24:24-030039-001:PB2","99.80%, 99.38%, 100.00%, 99.05%, 99.30%, 99.38%, 99.49%, 99.87%","3, 7, 0, 8, 12, 14, 9, 3",Ran on FASTA - No Coverage Report,USA,2025
7,SRR33830331,WGS,147.61,60989466,PRJNA1207547,SAMN48895302,Viral,22847982,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051277,USA,,USA,BALD EAGLE,NextSeq 2000,25-013426-001,25-013426-001-original-repeat2,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:09:58,1,25-013426-001,SRP557452,,BLOOD SWAB,SRS25266434,False,,USA,SRR33830331,2025-06-06_07-56-21,SRR33830331.fa,D1.1,"MP:ea3, PB1:ea3, NS:ea3, HA:ea3, PA:am4, PB2:am24, NA:am4N1, NP:am13","ea3:22-013001-001:MP, ea3:22-013001-001:PB1, ea3:22-013001-001:NS, ea3:22-013001-001:HA, am4:24-030039-001:PA, am24:24-030039-001:PB2, am4N1:24-030039-001:NA, am13:24-030039-001:NP","99.80%, 99.34%, 98.81%, 99.47%, 99.67%, 99.78%, 99.33%, 99.67%","2, 15, 10, 9, 7, 5, 7, 5",Ran on FASTA - No Coverage Report,USA,2025
8,SRR33830332,WGS,148.03,56622681,PRJNA1207547,SAMN48895310,Viral,21065609,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051276,USA,,USA,TURKEY VULTURE,NextSeq 2000,25-013422-002,25-013422-002-original-repeat2,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:10:04,1,25-013422-002,SRP557452,,BLOOD SWAB,SRS25266433,False,,USA,SRR33830332,2025-06-06_07-56-20,SRR33830332.fa,D1.1,"NP:am13, NS:ea3, MP:ea3, PB2:am24, PB1:ea3, HA:ea3, NA:am4N1, PA:am4","am13:24-030039-001:NP, ea3:22-013001-001:NS, ea3:22-013001-001:MP, am24:24-030039-001:PB2, ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am4N1:24-030039-001:NA, am4:24-030039-001:PA","99.80%, 99.17%, 100.00%, 99.74%, 99.34%, 99.24%, 99.33%, 99.66%","3, 7, 0, 6, 15, 13, 7, 6",Ran on FASTA - No Coverage Report,USA,2025
9,SRR33830333,WGS,148.74,132308939,PRJNA1207547,SAMN48895301,Viral,52071973,USDA-NVSL,2025,public,"run.zq,fastq,run","s3,gs","s3.us-east-1,gs.us-east1",SRX29051275,USA,,USA,BALD EAGLE,NextSeq 2000,25-015562-001,25-015562-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-06,2025-06-04 14:10:00,1,25-015562-001,SRP557452,,CLOACAL/TRACHEAL SWAB POOL,SRS25266432,False,,USA,SRR33830333,2025-06-06_07-56-21,SRR33830333.fa,D1.1,"PB2:am24, HA:ea3, NP:am13, MP:ea3, PB1:ea3, PA:am4, NA:am4N1, NS:ea3","am24:24-030039-001:PB2, ea3:22-013001-001:HA, am13:24-030039-001:NP, ea3:22-013001-001:MP, ea3:22-013001-001:PB1, am4:24-030039-001:PA, am4N1:24-030039-001:NA, ea3:22-013001-001:NS","99.83%, 99.53%, 99.87%, 99.59%, 99.28%, 99.72%, 99.38%, 99.17%","4, 8, 2, 4, 13, 5, 7, 7",Ran on FASTA - No Coverage Report,USA,2025
