,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,serotype,isolation_source,BioSample Accession,is_retracted,retraction_detection_date_utc,name_state,sample,date,File Name,Genotype,"Genotype List Used, >=98.0%",Genotype Sample Title List,Genotype Percent Match List,Genotype Mismatch List,Genotype Average Depth of Coverage List,Geo_Location,Collection_Date_Specific
0,SRR33993023,WGS,148.15,68132847,PRJNA1102327,SAMN49104730,Viral,22640539,USDA-NVSL,2025,public,"fastq,run",s3,s3.us-east-1,SRX29191096,USA,,USA,CATTLE,Illumina iSeq 100,25-016878-002,25-016878-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:28,1,25-016878-002,SRP503016,,"MILK, BULK TANK",SRS25388571,False,,USA,SRR33993023,2025-06-20_06-23-56,SRR33993023.fa,B3.13,"PB1:am4, PA:ea1, NA:ea1, PB2:am2.2, HA:ea1, NP:am8, NS:am1.1, MP:ea1","am4:23-001855-001:PB1, ea1:22-003707-003:PA, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP","99.34%, 98.93%, 98.79%, 98.51%, 98.30%, 99.00%, 99.05%, 98.78%","15, 23, 17, 34, 29, 15, 8, 12",Ran on FASTA - No Coverage Report,USA,2025
1,SRR33993024,WGS,148.15,63105544,PRJNA1102327,SAMN49104729,Viral,21290975,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191095,USA,,USA,CATTLE,Illumina iSeq 100,25-016866-004,25-016866-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:28,1,25-016866-004,SRP503016,,"MILK, BULK TANK",SRS25388572,False,,USA,SRR33993024,2025-06-20_06-23-56,SRR33993024.fa,B3.13,"NS:am1.1, MP:ea1, PA:ea1, PB2:am2.2, NP:am8, NA:ea1, PB1:am4, HA:ea1","am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:HA","99.05%, 98.88%, 98.75%, 98.47%, 99.06%, 98.94%, 99.21%, 98.18%","8, 11, 27, 35, 14, 15, 18, 31",Ran on FASTA - No Coverage Report,USA,2025
2,SRR33993025,WGS,148.28,46180111,PRJNA1102327,SAMN49104728,Viral,15373063,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191094,USA,,USA,CATTLE,Illumina iSeq 100,25-016866-002,25-016866-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:31,1,25-016866-002,SRP503016,,"MILK, BULK TANK",SRS25388570,False,,USA,SRR33993025,2025-06-20_06-23-56,SRR33993025.fa,B3.13,"NA:ea1, HA:ea1, NS:am1.1, PB2:am2.2, MP:ea1, PB1:am4, NP:am8, PA:ea1","ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:PA","98.94%, 98.12%, 99.05%, 98.47%, 98.78%, 99.21%, 99.06%, 98.75%","15, 32, 8, 35, 12, 18, 14, 27",Ran on FASTA - No Coverage Report,USA,2025
3,SRR33993026,WGS,147.53,47042737,PRJNA1102327,SAMN49104727,Viral,15677039,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191093,USA,,USA,CATTLE,Illumina iSeq 100,25-016847-007,25-016847-007-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:27,1,25-016847-007,SRP503016,,"MILK, BULK TANK",SRS25388569,False,,USA,SRR33993026,2025-06-20_06-23-56,SRR33993026.fa,B3.13,"HA:ea1, MP:ea1, NS:am1.1, PA:ea1, NP:am8, NA:ea1, PB2:am2.2, PB1:am4","ea1:22-003707-003:HA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1","98.30%, 98.78%, 98.93%, 98.88%, 98.93%, 98.65%, 98.47%, 98.59%","29, 12, 9, 24, 16, 19, 35, 32",Ran on FASTA - No Coverage Report,USA,2025
4,SRR33993027,WGS,147.76,65389924,PRJNA1102327,SAMN49104726,Viral,21557873,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191092,USA,,USA,CATTLE,Illumina iSeq 100,25-016847-006,25-016847-006-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:41,1,25-016847-006,SRP503016,,"MILK, BULK TANK",SRS25388568,False,,USA,SRR33993027,2025-06-20_06-23-56,SRR33993027.fa,B3.13,"PB2:am2.2, MP:ea1, NA:ea1, HA:ea1, NS:am1.1, NP:am8, PA:ea1, PB1:am4","am2.2:22-010445-001:PB2, ea1:22-003707-003:MP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:PA, am4:23-001855-001:PB1","98.51%, 98.78%, 98.65%, 98.30%, 98.93%, 98.93%, 98.88%, 99.30%","34, 12, 19, 29, 9, 16, 24, 16",Ran on FASTA - No Coverage Report,USA,2025
5,SRR33993028,WGS,147.78,74054528,PRJNA1102327,SAMN49104725,Viral,24486243,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191091,USA,,USA,CATTLE,Illumina iSeq 100,25-016847-004,25-016847-004-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:16,1,25-016847-004,SRP503016,,"MILK, BULK TANK",SRS25388567,False,,USA,SRR33993028,2025-06-20_06-23-56,SRR33993028.fa,B3.13,"NS:am1.1, NA:ea1, MP:ea1, PA:ea1, HA:ea1, NP:am8, PB1:am4, PB2:am2.2","am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am2.2:22-010445-001:PB2","98.93%, 98.72%, 98.78%, 98.88%, 98.30%, 98.93%, 99.34%, 98.51%","9, 18, 12, 24, 29, 16, 15, 34",Ran on FASTA - No Coverage Report,USA,2025
7,SRR33993041,WGS,147.27,52474370,PRJNA1102327,SAMN49104723,Viral,17356512,USDA-NVSL,2025,public,"fastq,run",s3,s3.us-east-1,SRX29191078,USA,,USA,CATTLE,Illumina iSeq 100,25-016745-002,25-016745-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:17,1,25-016745-002,SRP503016,,"MILK, BULK TANK",SRS25388554,False,,USA,SRR33993041,2025-06-20_06-23-56,SRR33993041.fa,B3.13,"NP:am8, NA:ea1, NS:am1.1, MP:ea1, PA:ea1, HA:ea1, PB2:am2.2, PB1:am4","am8:23-032005-001:NP, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am4:23-001855-001:PB1","98.93%, 98.58%, 98.69%, 98.88%, 98.88%, 98.30%, 98.51%, 99.56%","16, 20, 11, 11, 24, 29, 34, 10",Ran on FASTA - No Coverage Report,USA,2025
8,SRR33993043,WGS,147.96,574015012,PRJNA1102327,SAMN49104739,Viral,204462787,USDA-NVSL,2025,public,"fastq,run.zq,run","gs,s3","gs.us-east1,s3.us-east-1",SRX29191076,USA,,USA,CATTLE,NextSeq 2000,25-017370-002,25-017370-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:35,1,25-017370-002,SRP503016,,"MILK, BULK TANK",SRS25388552,False,,USA,SRR33993043,2025-06-20_06-23-56,SRR33993043.fa,B3.13,"PB1:am4, MP:ea1, NA:ea1, PB2:am2.2, HA:ea1, NP:am8, PA:ea1, NS:am1.1","am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am8:23-032005-001:NP, ea1:22-003707-003:PA, am1.1:22-010085-001:NS","99.30%, 98.78%, 98.65%, 98.51%, 98.42%, 98.93%, 98.70%, 99.05%","16, 12, 19, 34, 27, 16, 28, 8",Ran on FASTA - No Coverage Report,USA,2025
10,SRR33993045,WGS,148.34,238793868,PRJNA1102327,SAMN49104737,Viral,85355492,USDA-NVSL,2025,public,"fastq,run",s3,s3.us-east-1,SRX29191074,USA,,USA,CATTLE,NextSeq 2000,25-017364-002,25-017364-002-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:22,1,25-017364-002,SRP503016,,"MILK, BULK TANK",SRS25388550,False,,USA,SRR33993045,2025-06-20_06-23-56,SRR33993045.fa,B3.13,"NP:am8, MP:ea1, NS:am1.1, PA:ea1, PB2:am2.2, HA:ea1, PB1:am4, NA:ea1","am8:23-032005-001:NP, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:HA, am4:23-001855-001:PB1, ea1:22-003707-003:NA","98.86%, 98.78%, 99.05%, 98.70%, 98.47%, 98.42%, 99.34%, 98.65%","17, 12, 8, 28, 35, 27, 15, 19",Ran on FASTA - No Coverage Report,USA,2025
11,SRR33993046,WGS,148.2,185103703,PRJNA1102327,SAMN49104736,Viral,66232769,USDA-NVSL,2025,public,"fastq,run.zq,run",s3,s3.us-east-1,SRX29191073,USA,,USA,CATTLE,NextSeq 2000,25-017364-001,25-017364-001-original,PAIRED,RANDOM,VIRAL RNA,Influenza A virus,ILLUMINA,2025-06-20,2025-06-16 16:08:52,1,25-017364-001,SRP503016,,"MILK, BULK TANK",SRS25388549,False,,USA,SRR33993046,2025-06-20_06-23-56,SRR33993046.fa,B3.13,"NS:am1.1, PB1:am4, NP:am8, HA:ea1, NA:ea1, PA:ea1, PB2:am2.2, MP:ea1","am1.1:22-010085-001:NS, am4:23-001855-001:PB1, am8:23-032005-001:NP, ea1:22-003707-003:HA, ea1:22-003707-003:NA, ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, ea1:22-003707-003:MP","99.05%, 99.34%, 98.86%, 98.42%, 98.65%, 98.70%, 98.47%, 98.78%","8, 15, 17, 27, 19, 28, 35, 12",Ran on FASTA - No Coverage Report,USA,2025
